,有價證券代號及名稱
464,2801　彰銀
465,2809　京城銀
466,2812　台中銀
467,2816　旺旺保
468,2820　華票
469,2832　台產
470,2834　臺企銀
471,2836　高雄銀
472,2838　聯邦銀
473,2845　遠東銀
474,2849　安泰銀
475,2850　新產
476,2851　中再保
477,2852　第一保
478,2855　統一證
479,2867　三商壽
480,2880　華南金
481,2881　富邦金
482,2882　國泰金
483,2883　開發金
484,2884　玉山金
485,2885　元大金
486,2886　兆豐金
487,2887　台新金
488,2888　新光金
489,2889　國票金
490,2890　永豐金
491,2891　中信金
492,2892　第一金
493,2897　王道銀行
494,2901　欣欣
495,2903　遠百
496,2904　匯僑
497,2905　三商
498,2906　高林
499,2908　特力
500,2910　統領
501,2911　麗嬰房
502,2912　統一超
503,2913　農林
504,2915　潤泰全
505,2923　鼎固-KY
506,2929　淘帝-KY
507,2939　永邑-KY
508,2945　三商家購
509,3002　歐格
510,3003　健和興
511,3004　豐達科
512,3005　神基
513,3006　晶豪科
514,3008　大立光
515,3010　華立
516,3011　今皓
517,3013　晟銘電
518,3014　聯陽
519,3015　全漢
520,3016　嘉晶
521,3017　奇鋐
522,3018　隆銘綠能
523,3019　亞光
524,3021　鴻名
525,3022　威強電
526,3023　信邦
527,3024　憶聲
528,3025　星通
529,3026　禾伸堂
530,3027　盛達
531,3028　增你強
532,3029　零壹
533,3030　德律
534,3031　佰鴻
535,3032　偉訓
536,3033　威健
537,3034　聯詠
538,3035　智原
539,3036　文曄
540,3037　欣興
541,3038　全台
542,3040　遠見
543,3041　揚智
544,3042　晶技
545,3043　科風
546,3044　健鼎
547,3045　台灣大
548,3046　建碁
549,3047　訊舟
550,3048　益登
551,3049　精金
552,3050　鈺德
553,3051　力特
554,3052　夆典
555,3054　立萬利
556,3055　蔚華科
557,3056　富華新
558,3057　喬鼎
559,3058　立德
560,3059　華晶科
561,3060　銘異
562,3062　建漢
563,3090　日電貿
564,3092　鴻碩
565,3094　聯傑
566,3130　一零四
567,3138　耀登
568,3149　正達
569,3164　景岳
570,3167　大量
571,3168　眾福科
572,3189　景碩
573,3209　全科
574,3229　晟鈦
575,3231　緯創
576,3257　虹冠電
577,3266　昇陽
578,3296　勝德
579,3305　昇貿
580,3308　聯德
581,3311　閎暉
582,3312　弘憶股
583,3321　同泰
584,3338　泰碩
585,3346　麗清
586,3356　奇偶
587,3376　新日興
588,3380　明泰
589,3406　玉晶光
590,3413　京鼎
591,3416　融程電
592,3419　譁裕
593,3432　台端
594,3437　榮創
595,3443　創意
596,3447　展達
597,3450　聯鈞
598,3454　晶睿
599,3481　群創
600,3494　誠研
601,3501　維熹
602,3504　揚明光
603,3515　華擎
604,3518　柏騰
605,3528　安馳
606,3530　晶相光
607,3532　台勝科
608,3533　嘉澤
609,3535　晶彩科
610,3543　州巧
611,3545　敦泰
612,3550　聯穎
613,3557　嘉威
614,3563　牧德
615,3576　聯合再生
616,3583　辛耘
617,3588　通嘉
618,3591　艾笛森
619,3592　瑞鼎
620,3593　力銘
621,3596　智易
622,3605　宏致
623,3607　谷崧
624,3617　碩天
625,3622　洋華
626,3645　達邁
627,3652　精聯
628,3653　健策
629,3661　世芯-KY
630,3665　貿聯-KY
631,3669　圓展
632,3673　TPK-KY
633,3679　新至陞
634,3686　達能
635,3694　海華
636,3701　大眾控
637,3702　大聯大
638,3703　欣陸
639,3704　合勤控
640,3705　永信
641,3706　神達
642,3708　上緯投控
643,3711　日月光投控
644,3712　永崴投控
645,3714　富采
646,3715　定穎投控
647,4104　佳醫
648,4106　雃博
649,4108　懷特
650,4119　旭富
651,4133　亞諾法
652,4137　麗豐-KY
653,4142　國光生
654,4148 全宇生技-KY
655,4155　訊映
656,4164　承業醫
657,4190　佐登-KY
658,4306　炎洲
659,4414　如興
660,4426　利勤
661,4438　廣越
662,4439　冠星-KY
663,4440　宜新實業
664,4526　東台
665,4532　瑞智
666,4536　拓凱
667,4540　全球傳動
668,4545　銘鈺
669,4551　智伸科
670,4552　力達-KY
671,4555　氣立
672,4557　永新-KY
673,4560　強信-KY
674,4562　穎漢
675,4564　元翎
676,4566　時碩工業
677,4569　六方科-KY
678,4571　鈞興-KY
679,4572　駐龍
680,4576　大銀微系統
681,4581　光隆精密-KY
682,4583　台灣精銳
683,4588　玖鼎電力
684,4720　德淵
685,4722　國精化
686,4736　泰博
687,4737　華廣
688,4739　康普
689,4746　台耀
690,4755　三福化
691,4763　材料-KY
692,4764　雙鍵
693,4766　南寶
694,4770　上品
695,4771　望隼
696,4807　日成-KY
697,4904　遠傳
698,4906　正文
699,4912　聯德控股-KY
700,4915　致伸
701,4916　事欣科
702,4919　新唐
703,4927　泰鼎-KY
704,4930　燦星網
705,4934　太極
706,4935　茂林-KY
707,4938　和碩
708,4942　嘉彰
709,4943　康控-KY
710,4949　有成精密
711,4952　凌通
712,4956　光鋐
713,4958　臻鼎-KY
714,4960　誠美材
715,4961　天鈺
716,4967　十銓
717,4968　立積
718,4976　佳凌
719,4977　眾達-KY
720,4989　榮科
721,4994　傳奇
722,4999　鑫禾
723,5007　三星
724,5203　訊連
725,5215　科嘉-KY
726,5222　全訊
727,5225　東科-KY
728,5234　達興材料
729,5243　乙盛-KY
730,5244　弘凱
731,5258　虹堡
732,5269　祥碩
733,5283　禾聯碩
734,5284　jpp-KY
735,5285　界霖
736,5288　豐祥-KY
737,5292　華懋
738,5306　桂盟
739,5388　中磊
740,5434　崇越
741,5469　瀚宇博
742,5471　松翰
743,5484　慧友
744,5515　建國
745,5519　隆大
746,5521　工信
747,5522　遠雄
748,5525　順天
749,5531　鄉林
750,5533　皇鼎
751,5534　長虹
752,5538　東明-KY
753,5546　永固-KY
754,5607　遠雄港
755,5608　四維航
756,5706　鳳凰
757,5871　中租-KY
758,5876　上海商銀
759,5880　合庫金
760,5906　台南-KY
761,5907　大洋-KY
762,6005　群益證
763,6024　群益期
764,6108　競國
765,6112　邁達特
766,6115　鎰勝
767,6116　彩晶
768,6117　迎廣
769,6120　達運
770,6128　上福
771,6133　金橋
772,6136　富爾特
773,6139　亞翔
774,6141　柏承
775,6142　友勁
776,6152　百一
777,6153　嘉聯益
778,6155　鈞寶
779,6164　華興
780,6165　浪凡
781,6166　凌華
782,6168　宏齊
783,6176　瑞儀
784,6177　達麗
785,6183　關貿
786,6184　大豐電
787,6189　豐藝
788,6191　精成科
789,6192　巨路
790,6196　帆宣
791,6197　佳必琪
792,6201　亞弘電
793,6202　盛群
794,6205　詮欣
795,6206　飛捷
796,6209　今國光
797,6213　聯茂
798,6214　精誠
799,6215　和椿
800,6216　居易
801,6224　聚鼎
802,6225　天瀚
803,6226　光鼎
804,6230　尼得科超眾
805,6235　華孚
806,6239　力成
807,6243　迅杰
808,6257　矽格
809,6269　台郡
810,6271　同欣電
811,6277　宏正
